1942,-4.14,-3.91,-3.70,-4.27,-4.60,-4.81,-5.51,-4.36,-3.91,-3.72,-4.18,-3.09
1943,-3.66,-3.82,-3.23,-3.42,-3.67,-4.05,-4.24,-4.66,-3.50,-3.61,-3.90,-3.93
1944,-4.08,-2.58,-1.47,-1.17,-1.61,-2.17,-2.44,-2.17,-2.20,-2.74,-2.99,-2.23
1945,-2.25,-1.08,-1.36,-1.36,-1.42,-1.08,-1.59,-1.29,-1.84,-2.08,0.31,0.52
1946,1.46,2.30,1.51,1.31,1.83,1.74,1.70,1.41,2.11,1.72,1.84,1.35
1947,2.02,-0.66,-0.85,-0.88,-1.11,-1.22,-1.51,-1.89,-2.40,-2.75,-2.22,-2.55
1948,-2.65,1.53,1.94,-0.61,-0.72,-0.84,-0.53,-1.01,-1.00,-1.39,2.12,1.64
1949,2.87,2.32,1.96,1.51,1.08,2.26,2.11,1.86,1.94,1.90,-0.87,-1.00
1950,1.01,1.31,1.73,1.30,0.76,0.67,1.51,2.79,2.77,-0.61,-0.63,-1.18
1951,0.52,0.17,0.88,1.02,-0.95,-0.42,-0.31,-1.17,-0.98,-1.19,0.34,1.25
1952,1.31,-0.58,-0.31,-1.13,-1.51,-2.49,-3.58,-2.64,-2.65,-2.08,-2.11,-2.16
1953,-1.84,-0.94,-1.55,-1.03,-1.06,-2.06,-1.96,-2.83,-2.66,-3.31,-3.98,-3.40
1954,-2.27,-2.71,-3.32,-3.26,-2.88,-3.43,-4.36,-4.85,-5.37,-5.23,-5.07,-4.11
1955,-4.18,-3.33,-2.74,-2.50,-2.24,-2.21,-1.79,-2.09,-2.85,-2.84,-3.01,-3.24
1956,-3.53,-2.32,-2.68,-1.46,-1.81,-1.60,-1.67,-1.51,-1.82,-1.55,-2.06,-1.57
1957,-0.63,-0.56,-1.10,-1.59,-1.75,-1.34,-1.72,-1.90,0.68,0.85,2.81,-0.21
1958,-0.82,-1.04,-1.53,0.90,0.64,0.48,1.84,1.70,2.09,-0.48,-0.48,-1.34
1959,-1.37,-1.57,-1.86,0.06,0.26,0.31,-0.34,-0.07,-0.31,0.35,0.08,0.33
1960,0.38,-0.39,0.58,-0.76,-0.71,-0.60,-1.02,0.58,1.09,1.48,-0.05,-0.43
1961,-1.05,0.57,0.93,0.44,0.61,1.21,1.00,1.28,-0.49,-0.76,0.21,1.57
1962,2.31,2.74,2.43,2.68,-0.87,-0.71,-1.23,-1.82,-1.51,-1.62,-1.45,-1.74
1963,-2.07,-2.43,0.77,1.17,1.13,1.48,1.92,-0.28,-0.95,-1.89,-1.84,-0.04
1964,0.18,-0.19,1.17,2.44,-0.53,-1.03,0.31,0.34,0.58,0.87,0.73,0.50
1965,0.03,0.17,0.99,-0.31,-1.00,0.46,0.90,1.18,-0.16,-0.62,-1.58,-2.41
